"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF","LeBron James",11400,"TOR@CLE 07:00PM ET",54.585,"CLE"
"PG/SG","James Harden",10900,"HOU@SA 09:30PM ET",60.103,"HOU"
"SF","Kawhi Leonard",10200,"HOU@SA 09:30PM ET",43.272,"SA"
"SG","DeMar DeRozan",8300,"TOR@CLE 07:00PM ET",40.840,"TOR"
"PG","Kyle Lowry",8000,"TOR@CLE 07:00PM ET",41.646,"TOR"
"PG","Kyrie Irving",7700,"TOR@CLE 07:00PM ET",41.052,"CLE"
"PF/C","Kevin Love",7400,"TOR@CLE 07:00PM ET",39.043,"CLE"
"PF/C","Serge Ibaka",6600,"TOR@CLE 07:00PM ET",29.453,"TOR"
"PF","LaMarcus Aldridge",6500,"HOU@SA 09:30PM ET",32.465,"SA"
"SF","Norman Powell",5400,"TOR@CLE 07:00PM ET",14.846,"TOR"
"PG","Tony Parker",5300,"HOU@SA 09:30PM ET",20.192,"SA"
"PG/SG","Lou Williams",5200,"HOU@SA 09:30PM ET",27.631,"HOU"
"PG","Patrick Beverley",5000,"HOU@SA 09:30PM ET",27.097,"HOU"
"SG","Eric Gordon",4900,"HOU@SA 09:30PM ET",26.456,"HOU"
"SF/PF","Trevor Ariza",4800,"HOU@SA 09:30PM ET",26.491,"HOU"
"C","Tristan Thompson",4700,"TOR@CLE 07:00PM ET",24.113,"CLE"
"C","Clint Capela",4500,"HOU@SA 09:30PM ET",27.004,"HOU"
"C","Nene Hilario",4400,"HOU@SA 09:30PM ET",18.587,"HOU"
"C","Jonas Valanciunas",4300,"TOR@CLE 07:00PM ET",26.733,"TOR"
"C","Pau Gasol",4300,"HOU@SA 09:30PM ET",27.618,"SA"
"PF","Ryan Anderson",4200,"HOU@SA 09:30PM ET",22.584,"HOU"
"PF/C","David Lee",4100,"HOU@SA 09:30PM ET",17.753,"SA"
"SG","J.R. Smith",3900,"TOR@CLE 07:00PM ET",17.089,"CLE"
"PG","Patty Mills",3700,"HOU@SA 09:30PM ET",18.741,"SA"
"SG","Danny Green",3500,"HOU@SA 09:30PM ET",17.872,"SA"
"SG","Manu Ginobili",3400,"HOU@SA 09:30PM ET",16.570,"SA"
"PF/C","Channing Frye",3300,"TOR@CLE 07:00PM ET",17.394,"CLE"
"SF/PF","DeMarre Carroll",3200,"TOR@CLE 07:00PM ET",18.282,"TOR"
"SF","P.J. Tucker",3100,"TOR@CLE 07:00PM ET",18.563,"TOR"
"SG/SF","Kyle Korver",3000,"TOR@CLE 07:00PM ET",17.930,"CLE"
"PG","Deron Williams",2900,"TOR@CLE 07:00PM ET",22.559,"CLE"
"SF/PF","Sam Dekker",2800,"HOU@SA 09:30PM ET",14.292,"HOU"
"PG/SG","Cory Joseph",2700,"TOR@CLE 07:00PM ET",18.765,"TOR"
"PF","Patrick Patterson",2600,"TOR@CLE 07:00PM ET",16.165,"TOR"
"PG/SG","Iman Shumpert",2500,"TOR@CLE 07:00PM ET",15.288,"CLE"
"SG/SF","Jonathon Simmons",2300,"HOU@SA 09:30PM ET",12.370,"SA"
"SF/PF","Richard Jefferson",2200,"TOR@CLE 07:00PM ET",11.125,"CLE"
"C","Montrezl Harrell",2200,"HOU@SA 09:30PM ET",17.072,"HOU"
"SF","Derrick Williams",2100,"TOR@CLE 07:00PM ET",11.030,"CLE"
"C","Dewayne Dedmon",2100,"HOU@SA 09:30PM ET",15.864,"SA"
"PG/SG","Delon Wright",2000,"TOR@CLE 07:00PM ET",12.455,"TOR"
"PG","Fred VanVleet",2000,"TOR@CLE 07:00PM ET",6.363,"TOR"
"PG","Kay Felder",2000,"TOR@CLE 07:00PM ET",8.161,"CLE"
"SG","Dahntay Jones",2000,"TOR@CLE 07:00PM ET",6.250,"CLE"
"SG","James Jones",2000,"TOR@CLE 07:00PM ET",5.036,"CLE"
"SF","Bruno Caboclo",2000,"TOR@CLE 07:00PM ET",4.278,"TOR"
"PF","Lucas Nogueira",2000,"TOR@CLE 07:00PM ET",14.846,"TOR"
"PF","Pascal Siakam",2000,"TOR@CLE 07:00PM ET",11.123,"TOR"
"C","Edy Tavares",2000,"TOR@CLE 07:00PM ET",17.125,"CLE"
"C","Jakob Poeltl",2000,"TOR@CLE 07:00PM ET",8.047,"TOR"
"PG","Bobby Brown",2000,"HOU@SA 09:30PM ET",3.913,"HOU"
"PG","Bryn Forbes",2000,"HOU@SA 09:30PM ET",4.608,"SA"
"PG","Isaiah Taylor",2000,"HOU@SA 09:30PM ET",3.813,"HOU"
"PG","Dejounte Murray",2000,"HOU@SA 09:30PM ET",6.774,"SA"
"SF","Kyle Anderson",2000,"HOU@SA 09:30PM ET",10.640,"SA"
"SF","Troy Williams",2000,"HOU@SA 09:30PM ET",11.805,"HOU"
"PF","Joel Anthony",2000,"HOU@SA 09:30PM ET",4.329,"SA"
"PF","Davis Bertans",2000,"HOU@SA 09:30PM ET",8.882,"SA"
"PF","Kyle Wiltjer",2000,"HOU@SA 09:30PM ET",2.571,"HOU"
"C","Chinanu Onuaku",2000,"HOU@SA 09:30PM ET",7.400,"HOU"
